unidade_federativa,municipio,IBGE,populacao,valor_total_previsto,valor_total_01,valor_centavos,status_implantacao,pontos_atendidos,valor_investido,valor_investido_01,valor_investido_em_centavos
AC,Tarauacá,1200609,38819,"484.547,10",484.547,10,Sem Previsão,1,"0,0",0,0
AL,Delmiro Gouveia,2702405,51997,"1.169.381,70",1.169.381,70,Sem Previsão,43,"0,0",0,0
AL,Estrela de Alagoas,2702553,18306,"527.206,83",527.206,83,Sem Previsão,39,"0,0",0,0
AM,Autazes,1300300,37033,"1.171.151,92",1.171.151,92,Sem Previsão,51,"0,0",0,0
AM,Benjamin Constant,1300607,39484,"844.586,48",844.586,48,Sem Previsão,12,"0,0",0,0
AM,Careiro,1301100,36435,"748.797,8",748.797,8,Sem Previsão,17,"0,0",0,0
AM,Coari,1301209,83078,"814.954,75",814.954,75,Concluída,27,"0,0",0,0
AM,Codajás,1301308,26777,"757.706,74",757.706,74,Sem Previsão,36,"0,0",0,0
AM,Iranduba,1301852,45984,"800.655,2",800.655,2,Sem Previsão,30,"0,0",0,0
AM,Manacapuru,1302504,94175,"892.096,87",892.096,87,Concluída,31,"763009,3",763009,3
AM,Manaquiri,1302553,28413,"636.682,15",636.682,15,Concluída,21,"0,0",0,0
AM,Maraã,1302801,18423,"427.516,78",427.516,78,Sem Previsão,21,"0,0",0,0
AP,Amapá,1600105,8622,"459.24,58",459.24,58,Sem Previsão,15,"0,0",0,0
AP,Laranjal do Jari,1600279,45712,"896.578,6",896.578,6,Sem Previsão,17,"0,0",0,0
AP,Mazagão,1600402,19571,"594.149,70",594.149,70,Sem Previsão,20,"0,0",0,0
AP,Porto Grande,1600535,19669,"800.403,50",800.403,50,Sem Previsão,22,"96.748,0",96.748,0
AP,Serra do Navio,1600055,4938,"590.073,15",590.073,15,Concluída,21,"495899,0",495899,0
AP,Vitória do Jari,1600808,14364,"687.756,22",687.756,22,Sem Previsão,7,"0,0",0,0
BA,Abaré,2900207,19574,"490.227,43",490.227,43,Sem Previsão,23,"0,0",0,0
BA,Anagé,2901205,20096,"510.328,56",510.328,56,Sem Previsão,15,"0,0",0,0
BA,Anguera,2901502,11299,"441.915,4",441.915,4,Sem Previsão,20,"0,0",0,0
BA,Baianópolis,2902500,14195,"499.499,12",499.499,12,Sem Previsão,24,"0,0",0,0
BA,Barra,2902708,54188,"1.210.503,86",1.210.503,86,Sem Previsão,46,"0,0",0,0
BA,Barra do Choca,2902906,34853,"747.99,32",747.99,32,Sem Previsão,23,"0,0",0,0
BA,Boa Vista do Tupim,2903805,18658,"548.582,5",548.582,5,Sem Previsão,28,"0,0",0,0
BA,Bom Jesus da Serra,2903953,10554,"413.597,59",413.597,59,Sem Previsão,16,"0,0",0,0
BA,Brejolândia,2904407,10698,"437.37,14",437.37,14,Sem Previsão,17,"0,0",0,0
BA,Buritirama,2904753,21549,"486.364,54",486.364,54,Sem Previsão,20,"0,0",0,0
BA,Coronel João Sá,2909208,17098,"623.361,8",623.361,8,Sem Previsão,27,"0,0",0,0
BA,Cotegipe,2909406,14403,"687.927,70",687.927,70,Sem Previsão,36,"0,0",0,0
BA,Curaçá,2909901,35208,"544.494,5",544.494,5,Sem Previsão,13,"0,0",0,0
BA,Encruzilhada,2910404,20331,"401.38,67",401.38,67,Sem Previsão,17,"0,0",0,0
BA,Guanambi,2911709,85797,"533.416,18",533.416,18,Concluída,15,"441985,58",441985,58
BA,Guaratinga,2911808,22355,"464.626,92",464.626,92,Sem Previsão,17,"0,0",0,0
BA,Itaberaba,2914703,66310,"533.277,38",533.277,38,Concluída,16,"409445,98",409445,98
BA,Itabuna,2914802,219680,"623.601,85",623.601,85,Concluída,17,"463707,87",463707,87
BA,Jeremoabo,2918100,41100,"703.108,89",703.108,89,Sem Previsão,15,"0,0",0,0
BA,Juazeiro,2918407,218324,"330.262,76",330.262,76,Concluída,9,"268250,96",268250,96
BA,Lauro de Freitas,2919207,191436,"710.505,26",710.505,26,Concluída,21,"625251,76",625251,76
BA,Nilo Peçanha,2922607,14188,"467.642,9",467.642,9,Concluída,16,"404337,86",404337,86
BA,Pedro Alexandre,2924207,18135,"584.854,35",584.854,35,Sem Previsão,20,"0,0",0,0
BA,Piatã,2924306,18473,"480.76,30",480.76,30,Sem Previsão,25,"0,0",0,0
BA,Piraí do Norte,2924678,10360,"433.787,98",433.787,98,Concluída,15,"377520,78",377520,78
BA,Presidente Tancredo Neves,2925758,27505,"553.392,15",553.392,15,Sem Previsão,26,"0,0",0,0
BA,Rafael Jambeiro,2925956,24349,"441.036,2",441.036,2,Sem Previsão,27,"0,0",0,0
BA,Riacho de Santana,2410801,4278,"678.17,45",678.17,45,Sem Previsão,33,"0,0",0,0
BA,Rio do Pires,2926905,12084,"473.521,57",473.521,57,Sem Previsão,16,"0,0",0,0
BA,Santa Rita de Cássia,2928406,28822,"674.932,84",674.932,84,Sem Previsão,17,"0,0",0,0
BA,São Desidério,2928901,32640,"674.932,84",674.932,84,Sem Previsão,38,"0,0",0,0
BA,Uruçuca,2932705,21849,"674.09,96",674.09,96,Concluída,27,"606169,36",606169,36
BA,Vitoria da Conquista,2933307,343230,"770.854,49",770.854,49,Concluída,19,"650404,89",650404,89
CE,Aiuaba,2300408,16997,"608.224,1",608.224,1,Sem Previsão,17,"0,0",0,0
CE,Amontada,2300754,42098,"479.642,87",479.642,87,Sem Previsão,18,"47.964,29",47.964,29
CE,Araripe,2301307,21289,"451.846,0",451.846,0,Concluída,16,"431175,0",431175,0
CE,Barreira,2301950,20687,"569.125,0",569.125,0,Concluída,20,"503602,4",503602,4
CE,Brejo Santo,2302503,48056,"414.096,87",414.096,87,Concluída,14,"370584,0",370584,0
CE,Caririaçu,2303204,26858,"855.645,37",855.645,37,Sem Previsão,38,"0,0",0,0
CE,Ibaretama,2305266,13188,"395.211,5",395.211,5,Sem Previsão,19,"117.775,40",117.775,40
CE,Iraucuba,2306108,23543,"602.49,73",602.49,73,Sem Previsão,24,"0,0",0,0
CE,Itatira,2306603,20285,"360.412,81",360.412,81,Sem Previsão,15,"36.041,28",36.041,28
CE,Jaguaruana,2307007,33469,"234.752,50",234.752,50,Concluída,24,"621943,9",621943,9
CE,Jardim,2307106,27072,"525.693,75",525.693,75,Sem Previsão,15,"0,0",0,0
CE,Jucas,2307403,24479,"811.165,19",811.165,19,Sem Previsão,23,"70.519,42",70.519,42
CE,Maracanaú,2307650,221504,"917.61,0",917.61,0,Concluída,31,"904979,3",904979,3
CE,Mauriti,2308104,46113,"800.468,71",800.468,71,Sem Previsão,28,"0,0",0,0
CE,Missão Velha,2308401,35240,"982.422,53",982.422,53,Sem Previsão,37,"0,0",0,0
CE,Ocara,2309458,25123,"932.719,89",932.719,89,Sem Previsão,33,"93.271,99",93.271,99
CE,Orós,2309508,21394,"776.131,97",776.131,97,Sem Previsão,33,"80.526,63",80.526,63
CE,Quixeramobim,2311405,77174,"611.463,0",611.463,0,Concluída,20,"558623,3",558623,3
CE,Redenção,1506138,80797,"541.709,65",541.709,65,Concluída,17,"400974,74",400974,74
CE,Santa Quitéria,2312205,43359,"778.971,49",778.971,49,Sem Previsão,25,"77.897,15",77.897,15
CE,Santana do Acaraú,2312007,31596,"880.816,43",880.816,43,Concluída,27,"317897,89",317897,89
CE,São Benedito,2312304,46171,"856.321,5",856.321,5,Sem Previsão,25,"85.632,11",85.632,11
CE,São Goncalo do Amarante,2312403,47297,"465.564,0",465.564,0,Concluída,9,"378125,5",378125,5
CE,Tururu,2313559,15594,"572.2,39",572.2,39,Sem Previsão,20,"57.22,4",57.22,4
CE,Varjota,2313955,18136,"611.787,62",611.787,62,Concluída,20,"605458,8",605458,8
CE,Vicosa do Ceará,2314102,58922,"521.961,0",521.961,0,Concluída,20,"487065,0",487065,0
DF,Estrutural,5300108,32148,"421.957,11",421.957,11,Concluída,15,"397718,72",397718,72
ES,Afonso Cláudio,3200102,32454,"780.654,21",780.654,21,Sem Previsão,27,"0,0",0,0
ES,Ecoporanga,3202108,24271,"540.762,65",540.762,65,Sem Previsão,7,"0,0",0,0
ES,Pinheiros,3204104,26589,"998.18,59",998.18,59,Sem Previsão,30,"0,0",0,0
ES,Santa Maria de Jetibá,3204559,38850,"794.17,33",794.17,33,Sem Previsão,30,"0,0",0,0
GO,Caiapônia,5204409,18148,"906.494,9",906.494,9,Sem Previsão,13,"0,0",0,0
GO,Divinópolis de Goiás,5208301,5020,"360.499,19",360.499,19,Sem Previsão,13,"0,0",0,0
GO,Itapuranga,5211206,26639,"885.67,15",885.67,15,Sem Previsão,24,"0,0",0,0
GO,Jandaia,5211701,6272,"549.369,23",549.369,23,Sem Previsão,17,"67.038,30",67.038,30
GO,Matrinchã,5212956,4500,"276.226,89",276.226,89,Sem Previsão,10,"0,0",0,0
GO,Nerópolis,5214507,27341,"876.496,87",876.496,87,Sem Previsão,27,"79.99,0",79.99,0
GO,Niquelândia,5214606,45243,"1.099.715,59",1.099.715,59,Sem Previsão,19,"0,0",0,0
GO,Paranaiguara,5216304,9760,"502.769,75",502.769,75,Sem Previsão,9,"0,0",0,0
GO,Rubiataba,5218904,19832,"1.018.336,11",1.018.336,11,Sem Previsão,27,"0,0",0,0
GO,Teresina de Goiás,5221080,3290,"328.258,55",328.258,55,Sem Previsão,9,"32.825,86",32.825,86
MA,Amarante do Maranhão,2100600,40378,"945.609,8",945.609,8,Sem Previsão,34,"0,0",0,0
MA,Apicum-Açu,2100832,17948,"592.591,70",592.591,70,Sem Previsão,20,"0,0",0,0
MA,Arari,2101004,29200,"871.581,16",871.581,16,Sem Previsão,30,"0,0",0,0
MA,Buriti,2102200,28022,"677.397,63",677.397,63,Sem Previsão,19,"0,0",0,0
MA,Buriti Bravo,2102309,23375,"928.283,68",928.283,68,Sem Previsão,34,"0,0",0,0
MA,Buritirana,2102358,15100,"465.86,24",465.86,24,Sem Previsão,18,"0,0",0,0
MA,Cajari,2102507,18943,"592.591,70",592.591,70,Sem Previsão,20,"0,0",0,0
MA,Cândido Mendes,2102606,19702,"418.515,74",418.515,74,Sem Previsão,15,"0,0",0,0
MA,Cantanhede,2102705,21464,"900.614,38",900.614,38,Sem Previsão,33,"0,0",0,0
MA,Duque Bacelar,2103901,11084,"498.937,55",498.937,55,Sem Previsão,16,"0,0",0,0
MA,Godofredo Viana,2104305,11464,"291.229,74",291.229,74,Sem Previsão,11,"0,0",0,0
MA,Governador Nunes Freire,2104677,25117,"750.281,50",750.281,50,Sem Previsão,22,"0,0",0,0
MA,Humberto de Campos,2105005,27976,"577.921,74",577.921,74,Sem Previsão,20,"47.849,40",47.849,40
MA,Jenipapo dos Vieiras,2105476,16124,"477.33,4",477.33,4,Sem Previsão,17,"0,0",0,0
MA,Magalhães de Almeida,2106300,19267,"572.2,39",572.2,39,Sem Previsão,20,"57.22,4",57.22,4
MA,Matões,2106607,32988,"779.497,92",779.497,92,Sem Previsão,27,"0,0",0,0
MA,Pastos Bons,2108009,18999,"856.076,52",856.076,52,Sem Previsão,31,"0,0",0,0
MA,Pedro do Rosário,2108256,24475,"555.385,46",555.385,46,Sem Previsão,21,"0,0",0,0
MA,Santa Rita,2110203,35980,"918.594,72",918.594,72,Sem Previsão,27,"75.012,0",75.012,0
MA,São Félix de Balsas,2110807,4518,"277.811,50",277.811,50,Sem Previsão,10,"0,0",0,0
MA,São João Batista,2111003,20235,"664.54,54",664.54,54,Sem Previsão,30,"0,0",0,0
MA,São João do Soter,2111078,18095,"592.549,70",592.549,70,Sem Previsão,20,"0,0",0,0
MA,São José de Ribamar,2111201,174267,"538.58,75",538.58,75,Concluída,13,"432278,0",432278,0
MA,São José dos Basílios,2111250,7495,"453.268,86",453.268,86,Sem Previsão,23,"0,0",0,0
MA,Urbano Santos,2112605,32316,"935.412,72",935.412,72,Sem Previsão,34,"0,0",0,0
MA,Viana,2112803,51249,"772.597,30",772.597,30,Sem Previsão,14,"0,0",0,0
MG,Araçuaí,3103405,37270,"1.226.878,42",1.226.878,42,Sem Previsão,59,"0,0",0,0
MG,Ataláia,3104700,14039,"677.429,81",677.429,81,Sem Previsão,20,"0,0",0,0
MG,Bonito de Minas,3108255,10669,"493.606,18",493.606,18,Sem Previsão,14,"0,0",0,0
MG,Botumirim,3108503,6574,"372.703,80",372.703,80,Sem Previsão,16,"0,0",0,0
MG,Buritizeiro,3109402,28163,"1.204.352,22",1.204.352,22,Sem Previsão,24,"0,0",0,0
MG,Chapada Gaúcha,3116159,12495,"625.142,48",625.142,48,Sem Previsão,20,"0,0",0,0
MG,Francisco Badaró,3126505,10550,"507.294,62",507.294,62,Sem Previsão,11,"0,0",0,0
MG,Grão Mogol,3116159,15805,"543.768,80",543.768,80,Sem Previsão,25,"0,0",0,0
MG,Inhapim,3130903,24835,"638.25,82",638.25,82,Sem Previsão,25,"0,0",0,0
MG,Itamarandiba,3132503,34253,"789.334,91",789.334,91,Sem Previsão,24,"0,0",0,0
MG,Itambacuri,3132701,23585,"684.848,87",684.848,87,Sem Previsão,17,"0,0",0,0
MG,Itinga,3134004,15059,"600.277,22",600.277,22,Sem Previsão,26,"0,0",0,0
MG,Japonvar,3135357,8643,"507.879,32",507.879,32,Sem Previsão,20,"0,0",0,0
MG,Jequeri,3135506,12946,"452.115,69",452.115,69,Sem Previsão,21,"0,0",0,0
MG,Manga,3139300,19622,"884.532,58",884.532,58,Sem Previsão,32,"0,0",0,0
MG,Monte Azul,3142908,21990,"866.711,44",866.711,44,Sem Previsão,33,"0,0",0,0
MG,Nepomuceno,3144607,26897,"650.576,0",650.576,0,Em andamento,27,"0,0",0,0
MG,Pimenta,3150505,8655,"290.426,96",290.426,96,Concluída,9,"288464,55",288464,55
MG,Piranga,3150802,17864,"518.72,0",518.72,0,Sem Previsão,20,"0,0",0,0
MG,Porteirinha,3152204,38720,"821.017,18",821.017,18,Sem Previsão,23,"0,0",0,0
MG,Rio Acima,3154804,9924,"285.842,80",285.842,80,Concluída,7,"240879,9",240879,9
MG,Rubelita,3156502,7093,"449.756,78",449.756,78,Sem Previsão,12,"0,0",0,0
MG,Salinas,3157005,41301,"1.072.570,70",1.072.570,70,Sem Previsão,29,"0,0",0,0
MG,Santana do Manhuaçu,3158904,8844,"417.308,13",417.308,13,Sem Previsão,12,"0,0",0,0
MG,Santo Antônio do Retiro,3160454,7290,"354.122,34",354.122,34,Sem Previsão,9,"0,0",0,0
MG,Simonésia,3167608,19421,"415.175,48",415.175,48,Sem Previsão,10,"0,0",0,0
MG,Varzelândia,3170909,19702,"586.097,60",586.097,60,Sem Previsão,20,"0,0",0,0
MG,Verdelândia,3171030,9056,"538.911,86",538.911,86,Sem Previsão,11,"0,0",0,0
MS,Aquidauana,5001102,47162,"1.796.471,81",1.796.471,81,Sem Previsão,33,"0,0",0,0
MS,Sidrolândia,5007901,51355,"1.050.595,61",1.050.595,61,Sem Previsão,38,"0,0",0,0
MS,Terenos,5008008,19914,"680.997,61",680.997,61,Sem Previsão,23,"0,0",0,0
MT,Campinópolis,5102603,15112,"700.685,43",700.685,43,Sem Previsão,20,"61.939,24",61.939,24
MT,Colniza,5103254,33575,"1.120.514,49",1.120.514,49,Sem Previsão,30,"92.707,50",92.707,50
MT,Nossa Senhora do Livramento,5106109,11393,"586.821,47",586.821,47,Sem Previsão,18,"0,0",0,0
MT,Rosário Oeste,5107701,17161,"1.084.905,79",1.084.905,79,Sem Previsão,29,"0,0",0,0
PA,Água Azul do Norte,1500347,26305,"918.552,72",918.552,72,Sem Previsão,27,"0,0",0,0
PA,Almeirim,1500503,33372,"741.201,86",741.201,86,Sem Previsão,30,"0,0",0,0
PA,Augusto Corrêa,1500909,43700,"911.062,16",911.062,16,Sem Previsão,35,"0,0",0,0
PA,Baião,1501204,43757,"761.373,62",761.373,62,Sem Previsão,23,"0,0",0,0
PA,Chaves,1502509,22566,"920.152,72",920.152,72,Sem Previsão,27,"0,0",0,0
PA,Conceição do Araguaia,1502707,46395,"901.124,75",901.124,75,Concluída,27,"722265,7",722265,7
PA,Curralinho,1502806,32248,"514.114,46",514.114,46,Sem Previsão,23,"0,0",0,0
PA,Curuçá,1502905,37800,"424.83,85",424.83,85,Concluída,11,"130558,1",130558,1
PA,Goianésia do Pará,1503093,37975,"557.09,75",557.09,75,Concluída,14,"413613,5",413613,5
PA,Itaituba,1503606,98446,"926.456,65",926.456,65,Concluída,30,"770171,6",770171,6
PA,Mãe do Rio,1504059,28959,"752.184,78",752.184,78,Sem Previsão,20,"83.562,0",83.562,0
PA,Marituba,1504422,122916,"746.189,75",746.189,75,Concluída,19,"289252,0",289252,0
PA,Muaná,1504901,37977,"791.851,90",791.851,90,Sem Previsão,23,"0,0",0,0
PA,Novo Progresso,1505031,25135,"1.435.144,47",1.435.144,47,Sem Previsão,38,"0,0",0,0
PA,Óbidos,1505106,50459,"1.065.228,26",1.065.228,26,Sem Previsão,38,"0,0",0,0
PA,Pacajá,1505486,44778,"918.477,20",918.477,20,Sem Previsão,29,"0,0",0,0
